DATE DE CLASSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION (villages de vacances);NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION (résidences de tourisme);NOMBRE DE LOGEMENTS (villages de vacances)
28/09/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TOURS CENTRE GARE;29 RUE EDOUARD VAILLANT;37000;TOURS;https://www.accorhotels.com/fr/hotel-3475-hotel-mercure-tours-centre-gare-et-congres/index.shtml;-;147;92;-;-;-
29/06/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TOURS NORD;11 rue de l'Aviation;37100;TOURS;http://www.accorhotels.com/fr/hotel-1572-mercure-tours-nord/index.shtml;-;341;93;-;-;-
10/01/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TOURS SUD;Allée André Malraux;37300;JOUÉ-LÈS-TOURS;http://www.accorhotels.com/fr/hotel-1788-mercure-tours-sud/index.shtml;-;180;76;-;-;-
27/03/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TROUVILLE SUR MER;4 Place Foch;14360;TROUVILLE-SUR-MER;http://www.accorhotels.com/fr/hotel-9800-hotel-mercure-trouville-sur-mer/index.shtml;-;166;80;-;-;-
14/04/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE TROYES CENTRE;11 RUE DES BAS TREVOIS;10000;TROYES;http://www.accorhotels.com/fr/hotel-3168-hotel-mercure-troyes-centre/index.shtml;-;178;71;-;-;-
09/07/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VALENCE SUD;2 rue de Chantecouriol;26000;VALENCE;http://www.accorhotels.com/fr/hotel-6398-hotel-mercure-valence-sud/index.shtml;-;150;75;-;-;-
13/11/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VALENCIENNES CENTRE;5 rue du Saint Cordon;59300;VALENCIENNES;https://www.accorhotels.com/fr/hotel-8576-hotel-mercure-valenciennes-centre/index.shtml;-;211;87;-;-;-
17/05/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VANNES LE PORT;19 rue Daniel Gilard;56000;VANNES;http://www.accorhotels.com/fr/hotel-2182-hotel-mercure-vannes-le-port/index.shtml;-;183;89;-;-;-
19/01/2016;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MERCURE VERSAILLES CHÂTEAU;19 RUE PHILIPPE DE DANGEAU;78000;VERSAILLES;http://www.mercure.com/1909;-;148;60;-;-;-
05/04/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VERSAILLES PARLY 2;RUE DE MARLY LE ROI;78150;LE CHESNAY;http://www.accorhotels.com/fr/hotel-0379-hotel-mercure-versailles-parly-2/index.shtml;-;247;89;-;-;-
03/04/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VICHY THERMALIA;1 AVENUE THERMALE;03200;VICHY;http://www.accorhotels.com/fr/hotel-0460-hotel-mercure-vichy-thermalia/index.shtml;-;159;78;-;-;-
10/11/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VIENNE SUD CHANAS;Les Bourgeons;38150;CHANAS;http://www.mercure.com/fr/hotel-6148-hotel-mercure-vienne-sud-chanas/index.shtml;-;97;43;-;-;-
04/03/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VILLEFONTAINE LYON L'ISLE D'ABEAU;20 rue Antoine condorcet;38090;VILLEFONTAINE;http://www.mercure.com/fr/hotel-1132-hotel-mercure-lyon-l-isle-d-abeau/index.shtml;-;378;189;-;-;-
01/06/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VILLENEUVE SUR LOT MOULIN DE MADAME;Route de Casseneuil;47300;VILLENEUVE-SUR-LOT;https://all.accor.com/hotel/A6Q0/index.en.shtml#!;-;60;30;-;-;-
19/03/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VILLENEUVE-LOUBET PLAGE;215 Boulevard Eric Tabarly;06270;VILLENEUVE-LOUBET;http://www.mercure.com/fr/hotel-A9A2-hotel-mercure-villeneuve-loubet-plage-opening-december-2017/index.shtml;-;116;45;-;-;-
14/11/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERCURE VITTEL;158 AVENUE BOULOUMIE;88800;VITTEL;http://mercure.com;-;65;30;-;-;-
26/10/2017;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MERMOZ;16 avenue du Courant;40200;MIMIZAN;www.hotel-mermoz.fr;-;32;16;-;-;-
07/10/2020;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MERVEILLEUX MALO LES BAINS;77/79 Digue de Mer;59240;DUNKERQUE;https://hotelmerveilleux.com;-;46;20;-;-;-
15/02/2021;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL METS & PLAISIRS;7 avenue Albert Rouvière;81200;MAZAMET;https://metsetplaisirs.wixsite.com/metsetplaisirs;-;26;12;-;-;-
01/04/2016;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MEURICE;5 rue Edmond Roche;62100;CALAIS;http://www.hotel-meurice.fr;-;90;39;-;-;-
21/09/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MGM LE ROC DES TOURS;7030 Route du Chinaillon;74450;LE GRAND-BORNAND;https://www.mgm-hotels-residences.com/residence-le-roc-des-tours-le-grand-bornand-chinaillon;-;238;39;-;-;-
12/07/2019;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MGM LES SUITES D'ALEXANE;La Cour;74370;SAMOENS;https://www.alexane-hotel-spa.com/;-;99;33;-;-;-
11/10/2016;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MICHEL CHABRAN;29 avenue du 45ème Parallèle;26600;PONT-DE-L'ISÈRE;www.michelchabran.fr;-;19;9;-;-;-
05/07/2018;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MICHELET;1 RUE BERNARD BAGUENARD;33780;SOULAC-SUR-MER;WWW.HOTELMICHELET.FR;-;43;19;-;-;-
05/12/2017;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MICHELET ODÉON;6 PLACE DE L'ODéON;75006;PARIS;http://www.hotelmicheletodeon.com/;-;91;42;-;-;-
11/12/2017;HÔTEL DE TOURISME;2 étoiles;-;-;HÔTEL MIGNON;12 rue Joseph Vernet;84000;AVIGNON;http://hotel-mignon.com;-;34;16;-;-;-
04/12/2016;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIGNY OPÉRA MONTMARTRE;13 rue Victor Massé;75009;PARIS;http://www.hotelmigny.com;-;108;50;-;-;-
25/03/2021;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MIJO'S;20 avenue Victor Hugo;94120;FONTENAY-SOUS-BOIS;https://www.mijoshotel.com/;-;36;20;-;-;-
21/10/2019;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MILDISS;Route de Serre Bas;63610;BESSE-ET-SAINT-ANASTAISE;http://www.mildiss.fr;-;72;32;-;-;-
22/11/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MILLENNIUM PARIS OPÉRA;12 Boulevard Haussmann;75009;PARIS;https://www.millenniumhotels.com/fr/paris/millennium-hotel-paris-opera/;-;320;163;-;-;-
30/11/2017;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MILLENNIUM PARIS ROISSY CDG AIRPORT;Zone hôtelière;95700;ROISSY-EN-FRANCE;https://www.millenniumhotels.com/fr/paris/millennium-hotel-paris-charles-de-gaulle/;-;478;239;-;-;-
23/01/2020;HÔTEL DE TOURISME;1 étoile;-;-;HÔTEL MIMOSA;16 rue du faubourg Saint Martin;75010;PARIS 10E ARRONDISSEMENT;https://hotelmimosa.la-fr.com/;-;55;24;-;-;-
11/10/2018;HÔTEL DE TOURISME;4 étoiles;-;-;HÔTEL MINERA;Lieu-dit Minera;20220;MONTICELLO;hotel-minera.com;-;18;8;-;-;-
31/10/2017;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MINERVE;13 rue des écoles;75005;PARIS;www.parishotelminerve.com;-;99;54;-;-;-
05/08/2015;HÔTEL DE TOURISME;3 étoiles;-;-;HÔTEL MINVIELLE LES OLIVIERS;239 Route de Lannux;32400;SÉGOS;https://minvielle-fr.book.direct/fr-fr;-;40;18;-;-;-
